City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Jamestown,42.097,-79.2353,42.39,76,98,7.0,US,1638496676
Busselton,-33.65,115.3333,70.09,33,0,12.91,AU,1638496955
Mataura,-46.1927,168.8643,67.82,72,97,3.49,NZ,1638496709
Upernavik,72.7868,-56.1549,21.16,88,100,25.68,GL,1638496701
Rikitea,-23.1203,-134.9692,76.28,75,7,15.3,PF,1638496956
Longyearbyen,78.2186,15.6401,28.24,59,40,20.71,SJ,1638496956
Los Llanos de Aridane,28.6585,-17.9182,64.15,80,40,5.01,ES,1638496957
Mbaïki,3.8678,17.9892,69.58,95,100,2.55,CF,1638496957
Ponta do Sol,32.6667,-17.1,65.03,69,14,7.45,PT,1638496957
Nome,64.5011,-165.4064,-3.93,77,75,11.5,US,1638496958
Hong Kong,22.2855,114.1577,65.25,34,4,4.0,HK,1638496801
Butaritari,3.0707,172.7902,81.93,73,13,11.65,KI,1638496958
Leningradskiy,69.3833,178.4167,4.33,92,100,17.11,RU,1638496741
Kapaa,22.0752,-159.319,72.19,100,21,4.88,US,1638496728
Tezu,27.9167,96.1667,70.93,45,27,0.6,IN,1638496741
Prince Rupert,54.3161,-130.3201,40.69,70,90,13.8,CA,1638496778
Coyhaique,-45.5752,-72.0662,40.86,92,2,4.45,CL,1638496959
Muros,42.7762,-9.0603,51.98,96,42,2.51,ES,1638496960
Madīnat Sittah Uktūbar,29.8167,31.05,58.6,68,85,8.75,EG,1638496960
Dhidhdhoo,6.8833,73.1,81.64,78,8,7.67,MV,1638496960
Punta Arenas,-53.15,-70.9167,48.11,61,98,17.22,CL,1638496961
Ouésso,1.6136,16.0517,70.34,98,100,1.34,CG,1638496961
Bluff,-46.6,168.3333,60.46,79,46,7.36,NZ,1638496700
Mahébourg,-20.4081,57.7,77.25,80,26,13.13,MU,1638496961
Saint Anthony,45.0205,-93.218,42.55,68,90,0.0,US,1638496962
Chokurdakh,70.6333,147.9167,-25.37,98,100,8.88,RU,1638496962
Bredasdorp,-34.5322,20.0403,55.27,81,51,4.56,ZA,1638496962
Notodden,59.5594,9.2585,24.01,90,100,2.89,NO,1638496963
Rocha,-34.4833,-54.3333,54.59,94,0,5.55,UY,1638496963
Itarema,-2.9248,-39.9167,80.69,76,88,12.71,BR,1638496963
Geraldton,-28.7667,114.6,81.01,34,0,16.11,AU,1638496964
Port Alfred,-33.5906,26.891,62.2,73,65,20.87,ZA,1638496964
Novy Urengoy,66.0833,76.6333,5.31,96,100,7.92,RU,1638496964
Castro,-24.7911,-50.0119,59.59,97,98,8.99,BR,1638496868
Port Blair,11.6667,92.75,80.53,81,69,12.68,IN,1638496965
Atuona,-9.8,-139.0333,78.87,74,94,20.92,PF,1638496702
Puerto Rico,-26.796,-55.024,67.51,62,0,2.66,AR,1638496965
Dikson,73.5069,80.5464,-19.03,94,54,11.1,RU,1638496689
Pangnirtung,66.1451,-65.7125,21.2,68,90,8.05,CA,1638496966
Beringovskiy,63.05,179.3167,33.46,97,100,25.64,RU,1638496966
Saint George,37.1041,-113.5841,54.95,34,1,1.99,US,1638496822
Bilma,18.6853,12.9164,66.02,23,0,7.67,NE,1638496967
Hermanus,-34.4187,19.2345,55.8,84,12,11.3,ZA,1638496967
Vaini,-21.2,-175.2,82.56,78,75,11.5,TO,1638496967
Matagami,49.7502,-77.6328,15.91,86,90,20.71,CA,1638496968
Clyde River,70.4692,-68.5914,-7.04,91,79,4.23,CA,1638496968
Cradock,-32.1642,25.6192,51.93,72,62,2.53,ZA,1638496871
Ballina,-28.8667,153.5667,81.79,76,45,9.24,AU,1638496968
Hapao,16.8797,121.016,65.86,76,94,3.89,PH,1638496969
Albany,42.6001,-73.9662,44.37,85,95,8.01,US,1638496726
Kutum,14.2,24.6667,58.66,39,0,7.2,SD,1638496969
Kumul,42.8,93.45,25.9,57,0,4.56,CN,1638496970
San Cristobal,7.7669,-72.225,64.69,92,90,1.86,VE,1638496970
Sédhiou,12.7081,-15.5569,72.91,50,93,3.31,SN,1638496970
Hobart,-42.8794,147.3294,69.03,47,75,1.01,AU,1638496688
Puerto Ayora,-0.7393,-90.3518,68.83,84,77,7.49,EC,1638496971
Kulu,39.0951,33.0799,36.64,54,0,3.31,TR,1638496971
Athens,37.9795,23.7162,62.17,80,0,5.01,GR,1638496884
Graaff-Reinet,-32.2522,24.5308,52.92,69,63,4.29,ZA,1638496972
Pevek,69.7008,170.3133,14.2,86,100,11.27,RU,1638496972
Tuktoyaktuk,69.4541,-133.0374,-18.4,69,20,17.27,CA,1638496712
Kudahuvadhoo,2.6708,72.8944,82.26,75,46,7.72,MV,1638496972
Klaksvík,62.2266,-6.589,40.12,73,100,19.28,FO,1638496973
Santa Fe,-31.6333,-60.7,77.0,50,8,1.99,AR,1638496973
Vanavara,60.34,102.2797,25.52,93,100,10.45,RU,1638496973
Kloulklubed,7.0419,134.2556,77.88,92,100,18.37,PW,1638496974
Cururupu,-1.8283,-44.8683,74.93,96,28,2.21,BR,1638496974
Carutapera,-1.195,-46.02,77.18,91,8,4.47,BR,1638496975
Souillac,-20.5167,57.5167,77.36,81,49,11.68,MU,1638496865
Hokitika,-42.7167,170.9667,60.42,96,100,4.14,NZ,1638496769
Husavik,66.0449,-17.3389,32.02,85,100,12.01,IS,1638496975
Riyadh,24.6877,46.7219,56.86,59,6,10.71,SA,1638496910
Gizo Government Station,-8.103,156.8419,84.9,68,79,4.18,SB,1638496976
Ushuaia,-54.8,-68.3,46.06,66,40,21.85,AR,1638496976
Walvis Bay,-22.9575,14.5053,59.09,90,23,2.77,NA,1638496976
São José da Coroa Grande,-8.8978,-35.1478,78.46,82,100,9.35,BR,1638496977
Talnakh,69.4865,88.3972,-0.33,92,99,1.97,RU,1638496977
Lebu,-37.6167,-73.65,53.4,78,100,18.37,CL,1638496977
Bethel,41.3712,-73.414,56.48,70,20,4.0,US,1638496978
Eyrarbakki,63.863,-21.1481,35.2,85,100,15.57,IS,1638496978
West Wendover,40.7391,-114.0733,38.41,65,1,0.0,US,1638496978
Antofagasta,-23.65,-70.4,61.56,82,58,4.76,CL,1638496844
Camacha,33.0833,-16.3333,62.02,63,40,12.66,PT,1638496979
Arraial do Cabo,-22.9661,-42.0278,72.52,75,98,7.27,BR,1638496979
Saskylakh,71.9167,114.0833,-44.27,100,59,5.37,RU,1638496979
Avarua,-21.2078,-159.775,77.05,83,90,13.8,CK,1638496980
Bengkulu,-3.8004,102.2655,81.59,67,73,4.43,ID,1638496715
Viçosa,-20.7539,-42.8819,69.19,97,100,3.56,BR,1638496910
Gimbi,9.1667,35.8333,55.0,56,82,2.28,ET,1638496980
Faanui,-16.4833,-151.75,81.37,73,78,20.51,PF,1638496981
Port-Gentil,-0.7193,8.7815,80.47,77,100,6.49,GA,1638496981
Kiryat Gat,31.61,34.7642,56.8,59,9,5.08,IL,1638496982
Vila Velha,-20.3297,-40.2925,76.95,89,75,5.75,BR,1638496714
Port Lincoln,-34.7333,135.8667,63.84,56,99,8.01,AU,1638496983
Redlands,34.0556,-117.1825,68.92,51,0,1.54,US,1638496803
Dongsheng,39.8161,109.9776,27.93,31,0,6.93,CN,1638496984
Kingaroy,-26.5333,151.8333,85.05,71,26,6.93,AU,1638496984
Severo-Kuril'sk,50.6789,156.125,37.87,75,33,24.76,RU,1638496984
Lázaro Cárdenas,17.9583,-102.2,78.12,84,5,3.91,MX,1638496985
Iskateley,67.6803,53.1512,7.36,87,100,16.84,RU,1638496985
Hilo,19.7297,-155.09,77.79,95,35,5.01,US,1638496844
Cape Town,-33.9258,18.4232,61.09,66,56,3.0,ZA,1638496910
Dawlatabad,36.4141,64.9053,60.01,28,100,2.82,AF,1638496985
Aketi,2.7388,23.7833,70.97,99,100,2.37,CD,1638496986
Mar del Plata,-38.0023,-57.5575,63.88,83,0,20.0,AR,1638496719
Skovorodino,53.9833,123.9167,2.17,47,1,12.26,RU,1638496986
Narsaq,60.9167,-46.05,5.22,76,1,5.03,GL,1638496986
Hasaki,35.7333,140.8333,55.29,73,94,10.74,JP,1638496987
Yangi Marg`ilon,40.4272,71.7189,39.92,45,98,6.91,UZ,1638496687
Ternate,0.8,127.4,84.94,67,97,7.07,ID,1638496987
Khatanga,71.9667,102.5,-33.61,99,80,7.05,RU,1638496988
Palmer,42.1584,-72.3287,53.15,76,75,5.01,US,1638496988
Cayenne,4.9333,-52.3333,75.24,90,90,0.0,GF,1638496691
College,64.8569,-147.8028,-9.74,79,75,0.0,US,1638496989
Lundazi,-12.2929,33.1782,69.76,57,5,5.91,ZM,1638496989
Camaçari,-12.6975,-38.3242,80.37,93,98,4.85,BR,1638496815
Khairpur,27.5295,68.7617,61.36,28,0,2.71,PK,1638496990
Doha,25.2867,51.5333,71.58,83,9,4.61,QA,1638496870
Pitimbu,-7.4706,-34.8086,81.19,78,25,8.99,BR,1638496714
Thompson,55.7435,-97.8558,-14.17,99,35,0.94,CA,1638496990
Fortuna,40.5982,-124.1573,51.42,68,10,4.07,US,1638496693
Cam Ranh,11.9214,109.1591,80.56,54,20,14.97,VN,1638496991
San Policarpo,12.1791,125.5072,81.12,73,100,18.45,PH,1638496991
Khani,41.9563,42.9566,35.17,65,47,7.38,GE,1638496991
Örnsköldsvik,63.2909,18.7153,14.95,92,75,5.75,SE,1638496992
Barrow,71.2906,-156.7887,-12.98,77,90,10.36,US,1638496992
Honiara,-9.4333,159.95,84.87,75,84,2.64,SB,1638496992
Guaraniaçu,-25.1008,-52.8781,62.71,68,0,2.53,BR,1638496993
Kysyl-Syr,63.8986,122.7617,-29.49,98,37,5.14,RU,1638496993
Katsuura,35.1333,140.3,62.19,68,90,8.43,JP,1638496994
Hithadhoo,-0.6,73.0833,81.81,75,49,5.73,MV,1638496718
Kilindoni,-7.9139,39.6668,80.44,73,10,10.38,TZ,1638496994
Sørland,67.667,12.6934,34.88,50,38,21.05,NO,1638496994
East London,-33.0153,27.9116,62.78,61,14,19.35,ZA,1638496995
Lüderitz,-26.6481,15.1594,60.67,73,61,15.5,NA,1638496995
Bonthe,7.5264,-12.505,79.54,83,74,4.65,SL,1638496729
Bay Roberts,47.5999,-53.2648,43.34,87,100,5.01,CA,1638496995
Lagoa,39.05,-27.9833,63.7,83,7,11.63,PT,1638496996
Bhola District,22.6833,90.65,72.32,63,68,4.94,BD,1638496996
Dhārchula,29.85,80.5333,56.25,94,100,3.58,IN,1638496996
Bilibino,68.0546,166.4372,3.49,93,100,7.02,RU,1638496997
Thai Binh,20.45,106.3333,66.2,42,11,6.82,VN,1638496997
Deputatsky,69.3,139.9,-25.13,98,100,1.81,RU,1638496997
Cairns,-16.9167,145.7667,98.94,57,40,12.66,AU,1638496998
Okha,53.5739,142.9478,10.63,79,50,17.85,RU,1638496998
Ventersburg,-28.0856,27.1381,62.58,66,74,7.47,ZA,1638496998
Māngrol,21.1167,70.1167,64.98,62,0,9.69,IN,1638496999
Zharkovskiy,55.849,32.2697,32.0,87,94,10.02,RU,1638496999
Norman Wells,65.282,-126.8329,-13.81,95,100,12.33,CA,1638496999
Sangar,63.9242,127.4739,-35.99,95,90,7.36,RU,1638497000
Lorengau,-2.0226,147.2712,85.3,69,100,6.38,PG,1638497000
Saint Paul Harbor,57.79,-152.4072,18.91,58,1,13.8,US,1638497000
Chaumont,48.1167,5.1333,33.37,94,15,3.4,FR,1638497001
San Jose,37.3394,-121.895,63.14,69,75,0.0,US,1638496662
Burnie,-41.0667,145.9167,65.48,43,0,12.55,AU,1638497001
Lapa,-25.7697,-49.7158,60.78,97,100,6.26,BR,1638496752
Kharabali,47.4196,47.2568,34.12,82,14,10.18,RU,1638497001
Qaanaaq,77.484,-69.3632,13.84,75,100,5.88,GL,1638497002
Batagay,67.6333,134.6333,-44.95,99,100,1.41,RU,1638497002
Eureka,40.8021,-124.1637,51.67,95,7,4.65,US,1638497002
The Pas,53.8251,-101.2541,9.9,94,100,8.12,CA,1638497003
Ribeira Grande,38.5167,-28.7,64.9,79,15,15.19,PT,1638497003
Tasiilaq,65.6145,-37.6368,13.03,55,96,7.78,GL,1638497003
Richards Bay,-28.783,32.0377,71.26,89,70,8.37,ZA,1638497004
Tucumã,-0.1833,-50.05,76.35,89,69,5.91,BR,1638497004
Coquimbo,-29.9533,-71.3436,59.14,82,96,1.88,CL,1638496884
Coração de Jesus,-16.6853,-44.365,71.89,84,90,4.88,BR,1638497005
Carnarvon,-24.8667,113.6333,78.87,61,40,19.57,AU,1638497005
Kirakira,-10.4544,161.9205,83.48,78,69,1.66,SB,1638497006
Hay River,60.8156,-115.7999,1.36,78,90,16.11,CA,1638497006
Keskin,39.6731,33.6136,32.07,62,0,4.61,TR,1638497006
Sept-Îles,50.2001,-66.3821,34.93,99,100,11.43,CA,1638497007
Yellowknife,62.456,-114.3525,4.41,92,100,5.99,CA,1638496830
Black River,18.0264,-77.8487,78.8,83,100,4.92,JM,1638497007
Alofi,-19.0595,-169.9187,78.13,80,33,16.31,NU,1638496941
Sinnamary,5.3833,-52.95,77.9,84,57,6.6,GF,1638496714
Brigantine,39.4101,-74.3646,61.0,63,40,10.36,US,1638497007
Uyemskiy,64.4743,40.8524,17.65,85,90,4.47,RU,1638497008
Baghdad,33.3406,44.4009,44.51,53,0,5.75,IQ,1638497008
Hambantota,6.1241,81.1185,75.54,100,40,2.3,LK,1638497009
Dinguiraye,11.3,-10.7167,72.82,36,43,2.95,GN,1638497009
Jurm,36.8648,70.8342,39.52,25,64,7.45,AF,1638497009
Polyarny,69.1989,33.4478,3.67,75,100,10.11,RU,1638497010
Atar,20.5169,-13.0499,68.56,23,100,13.4,MR,1638497010
Kenai,60.5544,-151.2583,11.14,77,98,9.48,US,1638496739
Normandin,48.8333,-72.5321,32.31,98,100,0.38,CA,1638497011
Berbera,10.4396,45.0143,74.71,61,0,3.58,SO,1638497011
New Norfolk,-42.7826,147.0587,68.67,32,10,3.0,AU,1638497011
Cidreira,-30.1811,-50.2056,66.72,75,58,13.82,BR,1638497011
Lavrentiya,65.5833,-171.0,4.59,95,100,8.77,RU,1638497012
Sarangani,5.4033,125.4636,84.27,73,87,10.2,PH,1638497012
Lenina,46.0667,39.7833,40.64,84,17,9.62,RU,1638497013
Andenes,69.3143,16.1194,28.38,64,100,14.97,NO,1638497013
Yabassi,4.457,9.9682,75.99,95,98,0.38,CM,1638497013
Yerbogachën,61.2767,108.0108,0.28,97,100,8.84,RU,1638497013
Sitka,57.0531,-135.33,33.69,75,90,10.36,US,1638497014
Mossamedes,-15.1961,12.1522,71.17,80,0,4.7,AO,1638497014
Pahrump,36.2083,-115.9839,61.18,24,100,1.81,US,1638497014
Ceres,37.5949,-120.9577,61.38,83,100,1.19,US,1638496751
Provideniya,64.3833,-173.3,19.51,86,90,22.37,RU,1638497015
Vostok,46.4856,135.8833,11.66,86,100,5.46,RU,1638497015
Buraidah,26.326,43.975,51.51,57,26,8.81,SA,1638496967
San Patricio,28.017,-97.5169,71.89,86,5,7.76,US,1638497016
Altamira,-3.2033,-52.2064,76.95,85,99,2.35,BR,1638497016
Portland,45.5234,-122.6762,50.45,78,75,1.99,US,1638497016
Inuvik,68.3499,-133.7218,-20.81,97,100,10.16,CA,1638497016
Iracoubo,5.4802,-53.2011,77.13,87,43,6.85,GF,1638496780
Kimbe,-5.5502,150.1429,86.36,71,99,5.99,PG,1638497017
Lastoursville,-0.8143,12.7287,72.93,98,100,1.25,GA,1638497017
Cap Malheureux,-19.9842,57.6142,77.47,80,13,1.99,MU,1638496874
Chui,-33.6971,-53.4616,58.75,80,0,7.43,UY,1638497018
Ust'-Omchug,61.15,149.6333,-17.57,93,100,7.56,RU,1638497018
Yining,29.0361,114.5636,55.58,36,11,1.07,CN,1638497018
Statesville,35.7826,-80.8873,61.07,51,1,6.91,US,1638496804
Airai,-8.9266,125.4092,77.72,44,98,1.34,TL,1638497019
Hornepayne,49.2138,-84.7705,3.47,92,20,4.61,CA,1638497019
Nikolskoye,59.7035,30.7861,8.02,92,100,4.83,RU,1638496720
Alekseyevsk,57.8406,108.3492,19.33,95,100,6.44,RU,1638497019
Terrace Bay,48.7834,-87.1,15.31,66,9,7.9,CA,1638497020
Vista Hermosa,19.5167,-99.2167,63.79,28,1,10.36,MX,1638497020
George Town,5.4112,100.3354,79.9,83,20,1.01,MY,1638497020
Tambun,-6.2641,107.0712,92.03,78,40,4.61,ID,1638497021
Kahului,20.8947,-156.47,83.46,68,20,8.05,US,1638497021
Bambous Virieux,-20.3428,57.7575,77.22,80,20,12.71,MU,1638497021
Eyl,7.9803,49.8164,72.43,76,6,10.89,SO,1638497021
São Filipe,14.8961,-24.4956,74.73,68,87,8.95,CV,1638497022
Codrington,-38.2667,141.9667,62.71,53,23,12.97,AU,1638497022
Praia da Vitória,38.7333,-27.0667,61.75,96,4,7.38,PT,1638497023
Praia,14.9215,-23.5087,72.14,73,40,20.71,CV,1638497023
Saldanha,-33.0117,17.9442,58.05,73,100,12.77,ZA,1638497023
Ostrovnoy,68.0531,39.5131,24.58,74,100,18.19,RU,1638497024
Fureidis,32.5986,34.9558,53.49,56,38,3.11,IL,1638497024
Champerico,14.3,-91.9167,83.35,73,100,2.21,GT,1638496780
Christchurch,-43.5333,172.6333,80.02,78,100,8.01,NZ,1638496750
Nikolayevka,53.1257,47.2041,29.1,92,100,13.38,RU,1638497025
Ransang,8.9603,117.5828,81.99,78,100,4.7,PH,1638497025
Arkhara,49.4212,130.0842,-4.97,93,40,4.68,RU,1638497025
Aykhal,66.0,111.5,-28.59,98,100,8.55,RU,1638497026
Constitución,-35.3333,-72.4167,55.99,78,100,13.76,CL,1638496732
Rybachiy,48.7073,44.7449,37.26,85,98,10.42,RU,1638497026
Kaitangata,-46.2817,169.8464,61.84,87,93,5.23,NZ,1638497026
Chapais,49.7834,-74.8492,20.98,92,100,15.88,CA,1638497027
Port Augusta,-32.5,137.7667,81.72,26,72,15.97,AU,1638497027
Port Keats,-14.25,129.55,94.28,52,100,7.0,AU,1638497027
Camapuã,-19.5314,-54.0439,74.08,87,38,1.39,BR,1638497028
Alugan,12.2188,125.4808,80.8,74,100,17.36,PH,1638497028
Fort Nelson,58.8053,-122.7002,-8.37,99,99,3.18,CA,1638497028
Quelimane,-17.8786,36.8883,76.77,84,0,5.73,MZ,1638497029
Takoradze,4.8845,-1.7554,79.18,85,40,5.26,GH,1638497029
Puchezh,56.9788,43.1676,28.09,94,98,13.22,RU,1638497029
Charlottetown,46.2352,-63.1267,47.77,78,90,13.0,CA,1638496756
Bima,-8.4667,118.7167,85.32,74,100,4.29,ID,1638497030
Jos,9.9167,8.9,62.4,32,28,3.71,NG,1638497030
Tual,-5.6667,132.75,82.83,73,100,6.91,ID,1638497030
Kruisfontein,-34.0033,24.7314,56.88,87,68,7.94,ZA,1638497031
Menongue,-14.6585,17.691,62.82,93,89,2.95,AO,1638497031
Yulara,-25.2406,130.9889,101.28,9,0,18.28,AU,1638497031
Trofaiach,47.4167,15.0,31.32,97,100,5.61,AT,1638497032
Morón,-34.6534,-58.6198,70.02,81,7,5.99,AR,1638497032
Teruel,40.6667,-0.6667,42.76,93,94,34.87,ES,1638497033
Touros,-5.1989,-35.4608,79.7,80,67,11.92,BR,1638497033
Ambilobe,-13.2,49.05,72.05,75,0,3.49,MG,1638497033
Port Shepstone,-30.7414,30.455,66.87,82,100,18.72,ZA,1638497034
Lesnyye Polyany,55.9667,37.8667,34.95,89,97,12.03,RU,1638497034
Acapulco de Juárez,16.8634,-99.8901,79.02,78,5,6.62,MX,1638496751
Lillooet,50.6856,-121.942,36.32,93,84,1.43,CA,1638497034
Byron Bay,-28.65,153.6167,82.51,72,60,10.56,AU,1638497035
Capitán Bado,-23.2667,-55.5333,70.39,53,0,5.59,PY,1638497035
Mount Gambier,-37.8333,140.7667,66.63,38,28,9.91,AU,1638497035
Esperance,-33.8667,121.9,64.29,64,100,14.29,AU,1638497036
Kirkwall,58.9848,-2.9587,39.54,93,90,12.66,GB,1638497036
Laguna,38.421,-121.4238,64.2,83,40,0.29,US,1638496737
Guerrero Negro,27.9769,-114.0611,63.01,83,3,10.63,MX,1638497036
