City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Raja,8.4596,25.678,72.84,33,42,4.41,SS,1638497037
Denpasar,-8.65,115.2167,83.86,79,20,6.91,ID,1638496892
Chumikan,54.7183,135.315,-5.87,87,10,15.03,RU,1638496810
Juneau,58.3019,-134.4197,32.22,95,90,6.91,US,1638496817
Vila Franca do Campo,37.7167,-25.4333,59.2,82,25,1.34,PT,1638497037
Hūn,29.1268,15.9477,65.64,33,100,15.61,LY,1638497038
Weligama,5.9667,80.4167,78.89,81,7,1.03,LK,1638496792
Inhambane,-23.865,35.3833,74.61,95,92,8.41,MZ,1638497038
Mount Isa,-20.7333,139.5,100.17,17,87,13.8,AU,1638496808
Zhalantun,48.0,122.7167,15.24,54,0,11.74,CN,1638497038
Port Elizabeth,-33.918,25.5701,59.09,77,73,11.68,ZA,1638497039
Jalu,29.0331,21.5482,57.56,54,100,11.63,LY,1638497039
Harper,4.375,-7.7169,79.11,83,47,4.47,LR,1638497039
São Borja,-28.6606,-56.0044,68.95,52,0,10.83,BR,1638497040
Makakilo City,21.3469,-158.0858,80.92,66,1,8.05,US,1638497040
Saint-Philippe,-21.3585,55.7679,76.55,87,52,11.41,RE,1638497040
Arroyos y Esteros,-25.0667,-57.1,76.75,61,0,5.37,PY,1638497041
Coahuayana Viejo,18.7333,-103.6833,80.08,93,23,1.16,MX,1638497041
Qaqortoq,60.7167,-46.0333,7.11,83,6,5.68,GL,1638497041
Kiunga,-6.1219,141.2906,91.53,55,100,1.36,PG,1638497042
Hervey Bay,-25.2986,152.8535,87.04,70,33,5.99,AU,1638496780
Labuhan,-6.8844,112.2051,80.17,83,100,5.41,ID,1638497042
Sirte,31.2089,16.5887,64.42,45,100,17.29,LY,1638497042
Minbu,20.1833,94.8833,72.23,70,99,4.68,MM,1638497043
São Gabriel da Cachoeira,-0.1303,-67.0892,72.75,99,100,2.06,BR,1638497043
Erzin,36.9559,36.2,41.52,45,0,2.89,TR,1638497043
Hjelset,62.7833,7.4833,17.38,79,23,10.36,NO,1638497044
Lingao,19.9103,109.6859,68.4,47,8,8.46,CN,1638497044
Kota,25.1833,75.8333,60.49,57,47,3.38,IN,1638496817
Eqbālīyeh,35.3022,51.5358,42.62,57,100,20.18,IR,1638497044
Effingham County,32.3669,-81.3332,60.75,93,0,6.04,US,1638497045
Caconda,-13.7333,15.0667,58.75,95,88,1.34,AO,1638497045
Fergus Falls,46.283,-96.0776,35.06,88,75,0.0,US,1638497045
Imbituba,-28.24,-48.6703,68.83,87,100,1.59,BR,1638497046
Senanga,-16.1167,23.2667,76.35,41,93,2.13,ZM,1638497046
Kharp,66.8014,65.8081,3.27,97,100,0.74,RU,1638497046
Mirny,62.5353,113.9611,-26.18,99,95,3.51,RU,1638497047
Tupaciguara,-18.5922,-48.705,71.94,71,100,2.57,BR,1638497047
Aitape,-3.1374,142.3475,86.65,63,73,5.5,PG,1638497047
Cabo San Lucas,22.8909,-109.9124,79.52,73,93,5.64,MX,1638496789
Pisco,-13.7,-76.2167,65.01,88,0,12.66,PE,1638497048
Ørje,59.4802,11.6602,18.79,83,56,3.56,NO,1638497048
Rawson,-43.3002,-65.1023,55.22,54,0,10.42,AR,1638497049
Muroto-misakicho,33.2833,134.15,53.35,54,0,8.19,JP,1638497049
Half Moon Bay,37.4636,-122.4286,62.31,86,90,1.01,US,1638497049
Dingle,10.9995,122.6711,81.36,77,97,13.11,PH,1638497049
Mishelevka,52.8575,103.1719,11.98,91,25,2.48,RU,1638497050
Inírida,3.8653,-67.9239,72.45,96,100,0.69,CO,1638497050
Beloha,-25.1667,45.05,70.95,79,0,9.89,MG,1638496810
Grindavik,63.8424,-22.4338,36.07,75,75,18.41,IS,1638497051
Hurghada,27.2574,33.8129,62.96,59,22,11.41,EG,1638497051
Sibut,5.718,19.0739,76.48,68,69,3.96,CF,1638497051
Mogadishu,2.0371,45.3438,79.18,78,18,12.46,SO,1638496795
Puerto Escondido,15.85,-97.0667,79.63,69,20,0.0,MX,1638497052
Bar Harbor,44.3876,-68.2039,51.03,91,90,10.36,US,1638497052
Asău,46.4333,26.4,39.76,73,100,5.57,RO,1638497052
Anaconda,46.1285,-112.9423,47.39,81,54,4.74,US,1638497053
Matara,5.9485,80.5353,78.82,81,6,1.32,LK,1638497053
Zhigansk,66.7697,123.3711,-40.16,98,34,7.14,RU,1638497053
Yenagoa,4.9247,6.2642,77.29,92,83,4.23,NG,1638497054
Piaçabuçu,-10.4056,-36.4344,78.37,83,90,10.09,BR,1638496776
Pringsewu,-5.3582,104.9744,84.81,67,97,2.19,ID,1638497054
Assiniboia,49.6334,-105.9845,34.11,93,81,15.84,CA,1638497054
Ilulissat,69.2167,-51.1,20.93,76,100,15.23,GL,1638497055
Te Anau,-45.4167,167.7167,60.67,93,100,1.5,NZ,1638497055
Srednekolymsk,67.45,153.6833,-14.22,98,100,15.08,RU,1638496781
Upington,-28.4478,21.2561,64.09,26,40,7.11,ZA,1638497055
Locri,38.2414,16.2623,61.83,75,1,11.92,IT,1638497056
Pangai,-19.8,-174.35,80.71,74,40,17.27,TO,1638497056
Urrao,6.3152,-76.1342,58.93,97,100,1.68,CO,1638497056
Naviraí,-23.065,-54.1906,71.92,48,0,2.48,BR,1638496820
Torbay,47.6666,-52.7314,42.58,89,100,4.0,CA,1638497057
Shimsk,58.212,30.7127,22.57,96,98,6.26,RU,1638497057
Mahon,39.8885,4.2658,46.96,61,40,14.97,ES,1638497057
‘Ewa Beach,21.3156,-158.0072,81.01,69,15,8.99,US,1638496961
Nouakchott,18.0858,-15.9785,75.13,30,100,16.42,MR,1638496814
Rafaela,-31.2503,-61.4867,75.06,52,100,1.99,AR,1638496814
Horsham,51.064,-0.3272,38.95,78,0,4.61,GB,1638497058
Yārāda,17.65,83.2667,75.52,78,75,3.44,IN,1638497058
Tiksi,71.6872,128.8694,-30.15,100,81,2.06,RU,1638497059
Berlevåg,70.8578,29.0864,26.42,68,100,10.89,NO,1638497059
Arona,28.0996,-16.681,62.38,67,20,1.01,ES,1638497060
Udachny,66.4167,112.4,-26.55,74,100,6.11,RU,1638497060
Quatre Cocos,-20.2078,57.7625,77.09,80,20,11.7,MU,1638497060
Arman',59.7,150.1667,-2.0,97,100,9.64,RU,1638497061
Aranos,-24.1333,19.1167,74.71,41,100,10.56,NA,1638497061
Taltal,-25.4,-70.4833,62.51,77,62,1.66,CL,1638497061
Morant Bay,17.8815,-76.4093,75.65,82,84,7.05,JM,1638497061
San,13.3034,-4.8956,78.55,16,100,7.49,ML,1638497062
Highland,34.1283,-117.2086,67.15,51,0,1.01,US,1638497062
Puerto Asís,0.5133,-76.5007,71.85,98,99,1.1,CO,1638497062
Yenotayevka,47.2456,47.0281,35.01,80,15,10.8,RU,1638497063
Mahenge,-8.6833,36.7167,59.34,95,9,1.88,TZ,1638497063
Sulangan,11.1373,123.7228,81.99,74,85,24.34,PH,1638497063
Rehoboth,-23.3167,17.0833,73.58,42,100,9.17,NA,1638497064
Chālūs,36.655,51.4204,51.66,80,100,8.7,IR,1638497064
Isla Vista,34.4133,-119.861,61.12,78,90,3.44,US,1638497064
Port Said,31.2565,32.2841,66.6,51,14,8.14,EG,1638496819
Copiapó,-27.3667,-70.3333,55.09,60,99,3.06,CL,1638497065
Shar,49.5886,81.0453,24.51,65,100,20.36,KZ,1638497065
Vardø,70.3705,31.1107,27.45,58,100,16.26,NO,1638497065
Haukipudas,65.1765,25.3523,21.25,92,100,9.66,FI,1638497066
Kazachinskoye,57.6953,93.2761,28.13,67,100,7.63,RU,1638497066
Kholtoson,50.2981,103.3097,14.47,73,13,3.33,RU,1638497066
Pacasmayo,-7.4006,-79.5714,66.0,85,93,12.53,PE,1638497067
Hamilton,39.1834,-84.5333,54.23,67,3,3.0,US,1638496687
Shenjiamen,29.9576,122.298,53.13,52,0,18.48,CN,1638497067
Acarí,-15.4311,-74.6158,69.87,79,43,3.15,PE,1638497068
Boddam,57.4667,-1.7833,36.12,89,100,16.17,GB,1638497068
Nouadhibou,20.931,-17.0347,67.12,48,45,19.73,MR,1638497068
Poum,-20.2333,164.0167,81.64,74,100,19.51,NC,1638497069
Miracema do Tocantins,-9.5618,-48.3967,74.57,91,92,1.01,BR,1638497069
Arequipa,-16.3989,-71.535,55.47,62,0,3.44,PE,1638496966
Sibu,2.3,111.8167,85.32,68,97,3.65,MY,1638497069
Salalah,17.0151,54.0924,73.49,56,0,2.3,OM,1638497070
Kyrenia,35.3417,33.3167,59.29,62,33,3.71,CY,1638497070
Margate,51.3813,1.3862,37.04,75,100,1.99,GB,1638497070
Palu,-0.8917,119.8707,90.46,53,73,3.09,ID,1638497070
Hue,16.4667,107.6,68.11,83,75,6.91,VN,1638497071
Tavagnacco,46.1272,13.2132,42.28,93,100,3.85,IT,1638497071
Torrington,41.8007,-73.1212,54.59,81,59,5.99,US,1638497071
Pombas,17.1503,-25.0201,69.58,66,3,17.56,CV,1638497072
Lamar,33.6668,-95.5836,63.52,63,1,5.75,US,1638497072
Alihe,50.5667,123.7167,10.27,50,2,5.19,CN,1638497073
Mozarlândia,-14.7447,-50.5706,75.42,88,83,1.9,BR,1638497073
Artvin Province,41.1667,41.8333,36.68,69,78,6.31,TR,1638497073
Kavieng,-2.5744,150.7967,83.03,75,94,7.56,PG,1638497074
Homer,59.6425,-151.5483,10.04,88,36,9.37,US,1638496813
Aklavik,68.2191,-135.0107,-22.79,93,100,5.48,CA,1638497074
Banyumas,-7.5142,109.2942,83.55,74,98,3.91,ID,1638497074
São João da Barra,-21.6403,-41.0511,72.64,82,100,3.02,BR,1638497075
Fairbanks,64.8378,-147.7164,-11.9,80,87,3.09,US,1638496802
Guarapari,-20.6667,-40.4975,74.89,88,100,4.05,BR,1638496808
Dunedin,-45.8742,170.5036,59.94,95,100,8.16,NZ,1638496854
Mahon,39.8885,4.2658,46.96,61,40,14.97,ES,1638497075
High Rock,26.6208,-78.2833,69.82,64,0,9.17,BS,1638497076
Haines Junction,60.7522,-137.5108,0.12,99,100,3.78,CA,1638497076
Abu Samrah,35.3029,37.1841,48.25,66,0,2.66,SY,1638497076
Samarai,-10.6167,150.6667,85.96,68,94,1.3,PG,1638497077
Bathsheba,13.2167,-59.5167,81.21,78,40,20.71,BB,1638497077
Sena Madureira,-9.0656,-68.6569,73.49,84,43,2.91,BR,1638497077
Ulukulevo,54.4355,56.3221,30.45,81,100,14.67,RU,1638497078
Ayan,56.45,138.1667,1.26,71,50,25.03,RU,1638497078
Lenine,45.2986,35.7771,50.22,83,79,19.51,UA,1638497078
Paamiut,61.994,-49.6678,19.11,83,85,8.63,GL,1638497079
Yumen,40.2833,97.2,26.91,36,0,8.21,CN,1638497079
Slave Lake,55.2834,-114.769,28.27,50,1,19.86,CA,1638497079
Vila do Maio,15.1333,-23.2167,72.39,67,100,16.8,CV,1638497080
Oddur,4.1213,43.8894,69.57,87,14,11.36,SO,1638497080
Matadi,-5.8167,13.45,75.94,98,97,3.02,CD,1638497080
Litovko,49.2361,135.1742,8.46,77,5,7.9,RU,1638497081
Sorgun,39.8101,35.186,33.13,56,0,3.85,TR,1638497081
Erenhot,43.6475,111.9767,24.35,50,0,11.65,CN,1638497081
Nishihara,26.1842,127.7558,69.85,54,75,16.11,JP,1638497081
Atbasar,51.8,68.3333,30.33,93,100,13.44,KZ,1638497082
Egvekinot,66.3167,-179.1667,11.89,96,100,15.82,RU,1638497082
Kotelnikowo,47.6317,43.1461,41.13,83,100,15.17,RU,1638497024
Konibodom,40.2843,70.4426,40.77,37,93,5.88,TJ,1638497083
Naze,28.3667,129.4833,60.22,53,88,13.8,JP,1638497083
Severodvinsk,64.5635,39.8302,17.71,88,97,9.04,RU,1638497083
Narón,43.5167,-8.1528,54.01,84,96,2.84,ES,1638497083
Bani Walid,31.7566,13.9942,55.98,26,100,10.87,LY,1638497084
Pattani,6.75,100.4167,76.71,92,100,3.91,TH,1638497084
Port Hardy,50.6996,-127.4199,39.76,81,90,6.91,CA,1638497002
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,34.95,36,0,8.79,CN,1638497084
Isangel,-19.55,169.2667,82.99,67,62,11.61,VU,1638497085
Great Yarmouth,52.6083,1.7305,35.94,76,100,13.44,GB,1638497085
Santo Antônio de Jesus,-12.9689,-39.2614,73.58,90,99,2.62,BR,1638497086
Dolores,-36.3132,-57.6792,55.29,86,0,7.52,AR,1638497086
Hofn,64.2539,-15.2082,35.65,61,93,7.81,IS,1638497086
Conakry,9.538,-13.6773,79.36,76,90,7.0,GN,1638497087
Nisibis,37.0778,41.2178,45.3,46,0,3.0,TR,1638497087
Ugoofaaru,5.6667,73.0,82.04,78,9,6.96,MV,1638497087
San Angelo,31.4638,-100.437,70.54,56,91,7.0,US,1638496523
Porto Torres,40.835,8.3972,50.18,50,93,20.2,IT,1638497088
Cockburn Town,21.4612,-71.1419,80.89,76,0,9.4,TC,1638496915
Sampit,-2.5333,112.95,87.35,59,95,4.09,ID,1638497088
Bocanda,7.0626,-4.4995,74.19,94,9,3.83,CI,1638497088
Ajdabiya,30.7554,20.2263,61.11,49,100,16.87,LY,1638497089
Wajima,37.4,136.9,51.98,74,73,28.12,JP,1638497089
Talcahuano,-36.7167,-73.1167,54.25,74,99,12.64,CL,1638496815
Auki,-8.7676,160.7034,85.75,66,99,4.09,SB,1638497089
Vung Tau,10.346,107.0843,76.73,76,94,5.91,VN,1638497090
Port Hawkesbury,45.6169,-61.3485,49.87,97,90,5.01,CA,1638497078
The Valley,18.217,-63.0578,81.1,71,8,17.72,AI,1638497090
Ixtapa,20.7,-105.2,78.22,87,96,1.81,MX,1638496809
Manzanillo,20.3433,-77.1167,73.67,89,17,9.69,CU,1638496805
Oneonta,42.4529,-75.0638,42.31,90,85,1.01,US,1638497091
Lidzbark Warmiński,54.1259,20.5795,32.16,80,78,14.54,PL,1638497091
Nara,34.6851,135.8049,57.96,54,5,6.08,JP,1638497065
Safi,32.2994,-9.2372,55.83,72,7,13.49,MA,1638497091
Sharan,54.8167,54.0,24.96,86,100,14.94,RU,1638497092
Shahreza,32.0339,51.8794,43.52,68,39,4.79,IR,1638497092
Faya,18.3851,42.4509,41.52,29,0,1.68,SA,1638497092
Cerro Punta,8.85,-82.5667,52.79,90,91,4.79,PA,1638497093
Sibolga,1.7427,98.7792,78.19,81,100,3.06,ID,1638497093
Xining,36.6167,101.7667,26.83,33,0,3.06,CN,1638497093
Khalkhāl,37.6189,48.5258,21.31,83,4,2.26,IR,1638497094
Goulburn,-34.75,149.7167,82.15,47,0,7.83,AU,1638497094
Zarichne,51.8126,26.129,33.84,78,100,6.4,UA,1638497095
Dukat,62.55,155.55,-27.92,91,100,7.23,RU,1638497095
Cuamba,-14.8031,36.5372,72.99,65,0,6.33,MZ,1638497095
Whitehorse,60.7161,-135.0538,5.02,99,100,2.55,CA,1638496832
Tokur,53.1333,132.9,-11.15,90,85,1.7,RU,1638497096
Sabang,5.8933,95.3214,80.71,76,100,5.97,ID,1638496808
Vao,-22.6667,167.4833,76.69,77,98,16.67,NC,1638497096
Yanam,16.7333,82.2167,79.2,77,100,6.82,IN,1638496845
Maniitsoq,65.4167,-52.9,28.71,66,100,11.88,GL,1638497096
Rhodes,36.4408,28.2225,57.78,84,40,1.01,GR,1638497097
Lompoc,34.6391,-120.4579,56.57,88,90,0.0,US,1638497097
Tsimmerbude,54.675,20.1347,36.97,59,100,22.77,RU,1638497097
Upata,8.0086,-62.3989,74.19,88,100,3.2,VE,1638496966
Zhangye,38.9342,100.4517,27.55,38,82,4.85,CN,1638497098
Barra Velha,-26.6322,-48.6847,68.09,93,100,4.68,BR,1638497098
Aasiaat,68.7098,-52.8699,25.48,74,100,23.73,GL,1638497098
Maceió,-9.6658,-35.7353,80.04,83,75,3.44,BR,1638497099
Beian,63.6559,9.5683,18.01,79,20,14.97,NO,1638497099
Kieta,-6.2167,155.6333,85.69,72,100,5.61,PG,1638497029
Wasilla,61.5814,-149.4394,9.52,83,1,0.0,US,1638497099
Comodoro Rivadavia,-45.8667,-67.5,48.06,46,0,3.44,AR,1638497092
Ashland,40.8167,-82.2665,44.28,76,12,12.3,US,1638496881
Abdulino,53.7,53.6667,23.45,89,100,13.76,RU,1638497100
Vestmannaeyjar,63.4427,-20.2734,41.63,66,100,26.4,IS,1638497100
Aleysk,52.4926,82.7822,28.18,58,97,13.51,RU,1638497101
Kapit,2.0167,112.9333,86.14,67,87,0.6,MY,1638497101
Dongning,44.0622,131.1207,17.08,68,3,12.17,CN,1638497101
Olafsvik,64.8945,-23.7142,33.53,69,100,15.7,IS,1638497101
Teya,60.3778,92.6267,24.94,82,100,14.32,RU,1638497102
Altos,-5.0381,-42.46,82.71,71,92,4.16,BR,1638497102
Coos Bay,43.3665,-124.2179,52.86,100,28,10.78,US,1638496910
Collie,-33.3667,116.15,67.98,31,0,11.3,AU,1638497103
Saint-Joseph,-21.3667,55.6167,75.56,84,26,12.71,RE,1638497103
Naples,40.8333,14.25,53.15,97,40,1.01,IT,1638497103
Cervo,43.6702,-7.4101,48.2,80,95,8.77,ES,1638497104
Ardabil,38.2498,48.2933,29.12,75,4,2.17,IR,1638496832
Kavaratti,10.5669,72.642,81.37,78,32,5.3,IN,1638497104
Najrān,17.4924,44.1277,53.58,31,0,2.19,SA,1638497104
Shahrud,36.4182,54.9763,40.33,64,100,13.78,IR,1638497105
Saint-Pierre,-21.3393,55.4781,76.64,83,40,9.22,RE,1638496660
Celestún,20.8667,-90.4,75.58,82,9,14.27,MX,1638497105
Caravelas,-17.7125,-39.2481,74.79,91,35,7.7,BR,1638497105
Hirado,33.3597,129.5531,54.39,56,97,18.75,JP,1638497106
Voznesen'ye,61.0106,35.4781,6.87,97,65,3.8,RU,1638497106
Beira,-19.8436,34.8389,78.06,90,75,7.65,MZ,1638497106
Bouna,9.2667,-3.0,75.42,34,0,3.98,CI,1638497107
Mareeba,-17.0,145.4333,94.32,52,12,5.95,AU,1638497107
Damāvand,35.7178,52.065,30.04,81,100,9.13,IR,1638497107
Bisira,8.5196,-81.7115,57.49,94,65,7.05,PA,1638497107
Mackay,-21.15,149.2,90.68,69,92,14.61,AU,1638497108
Lufilufi,-13.8745,-171.5986,76.78,71,100,6.33,WS,1638497108
Voi,-3.3945,38.563,69.66,91,92,4.52,KE,1638497108
Bereda,43.2686,-7.5406,46.42,100,92,1.23,ES,1638496824
San Juan,-31.5375,-68.5364,79.11,45,89,10.78,AR,1638496843
Iqaluit,63.7506,-68.5145,12.79,79,99,0.92,CA,1638497109
Ilebo,-4.3167,20.5833,69.98,99,100,0.47,CD,1638497110
Guiglo,6.5456,-7.4966,72.46,99,31,2.19,CI,1638497110
Yelizovo,53.1873,158.3805,33.94,47,75,8.99,RU,1638497110
Khuzhir,53.1939,107.3397,31.37,76,82,10.69,RU,1638497110
Paracambi,-22.6086,-43.7128,75.22,97,100,2.53,BR,1638497111
Dobryanka,58.4619,56.4165,24.66,90,100,10.18,RU,1638497111
Karratha,-20.7377,116.8463,98.53,18,5,10.25,AU,1638497111
Cherskiy,68.75,161.3,-2.2,99,100,6.89,RU,1638497112
Ulladulla,-35.35,150.4667,74.77,83,100,10.31,AU,1638497112
Vaitape,-16.5167,-151.75,81.34,73,76,20.54,PF,1638497112
Hanko,59.8333,22.95,17.85,76,100,20.47,FI,1638497113
Saint-Augustin,51.226,-58.6502,33.87,93,89,8.28,CA,1638497113
Suzhou,31.3114,120.6181,51.67,38,0,11.05,CN,1638496974
Spydeberg,59.6171,11.0856,19.69,91,51,1.99,NO,1638497113
Turukhansk,65.8167,87.9833,30.54,98,100,14.61,RU,1638497114
Boyolangu,-8.1181,111.8935,79.02,85,100,1.32,ID,1638497114
Lata,40.1629,-8.3327,43.05,87,0,3.29,PT,1638497114
Birnin Kebbi,12.4539,4.1975,72.81,22,77,9.13,NG,1638497115
Portobelo,9.55,-79.65,79.74,88,27,9.93,PA,1638497115
Coripata,-16.3,-67.6,70.61,96,99,1.03,BO,1638497115
Illora,37.2877,-3.8811,38.1,89,0,2.3,ES,1638497116
Lajas,18.05,-67.0593,78.39,83,8,1.01,PR,1638497116
Booué,-0.0921,11.9385,72.99,99,100,1.14,GA,1638497116
Flinders,-34.5833,150.8552,83.8,74,23,18.81,AU,1638497117
Neuquén,-38.9516,-68.0591,69.69,49,0,3.44,AR,1638497086
